Site.Name,Add,Site...GP.NHS.VHC.Covid.Clinic,Region,lon,lat
ORCHARD HOUSE HEALTH CENTRE,FK8 1PH,Primary Care Delivery Site,Forth Valley,-3.9401381,56.1269448
PARK AVENUE MEDICAL CENTRE,FK8 2AU,Primary Care Delivery Site,Forth Valley,-3.9358927,56.1068004
PARK TERRACE MEDICAL PRACTICE,FK8 2AU,Primary Care Delivery Site,Forth Valley,-3.9358927,56.1068004
PARKVIEW PRACTICE,FK5 3BB,Primary Care Delivery Site,Forth Valley,-3.8182638,56.0250367
POLMONT PARK MEDICAL PRACTICE,FK2 0XF,Primary Care Delivery Site,Forth Valley,-3.7218321,55.9873945
STENHOUSE PRACTICE,FK5 3BB,Primary Care Delivery Site,Forth Valley,-3.8182638,56.0250367
THE WALLACE MEDICAL PRACTICE,FK8 1JU,Primary Care Delivery Site,Forth Valley,-3.9373642,56.12041
KILLIN MEDICAL PRACTICE,FK21 8TQ,Primary Care Delivery Site,Forth Valley,-4.3165689,56.4665535
THE WHINS MEDICAL PRACTICE,FK10 3JQ,Primary Care Delivery Site,Forth Valley,-3.7835471,56.1246871
WALLACE MEDICAL CENTRE,FK2 7AZ,Primary Care Delivery Site,Forth Valley,-3.7761437,56.0051714
VIEWPOINT MEDICAL PRACTICE,FK5 3BB,Primary Care Delivery Site,Forth Valley,-3.8182638,56.0250367
VIEWFIELD MEDICAL PRACTICE,FK8 2AU,Primary Care Delivery Site,Forth Valley,-3.9358927,56.1068004
CLACKMANNAN & KINCARDINE MEDICAL PRACTICE,FK10 4JA,Primary Care Delivery Site,Forth Valley,-3.751112,56.1073052
GRAEME MEDICAL CENTRE,FK2 7HR,Primary Care Delivery Site,Forth Valley,-3.7848588,56.0059979
TILLICOULTRY MEDICAL PRACTICE,FK13 6AG,Primary Care Delivery Site,Forth Valley,-3.7467916,56.1528263
SLAMANNAN MEDICAL PRACTICE,FK1 3EZ,Primary Care Delivery Site,Forth Valley,-3.8356186,55.9366229
BO'NESS ROAD MEDICAL PRACTICE,FK3 8AN,Primary Care Delivery Site,Forth Valley,-3.7203392,56.0194598
THE RICHMOND PRACTICE,EH51 0DQ,Primary Care Delivery Site,Forth Valley,-3.6136753,56.0120325
ALVA MEDICAL PRACTICE,FK12 5BD,Primary Care Delivery Site,Forth Valley,-3.803485,56.1519218
DOUNE HEALTH CENTRE,FK16 6DU,Primary Care Delivery Site,Forth Valley,-4.0524112,56.191837
AIRTHREY PARK MEDICAL CENTRE,FK9 4NJ,Primary Care Delivery Site,Forth Valley,-3.9174696,56.1496122
KINGSWELLS MEDICAL PRACTICE,AB15 8TB,Primary Care Delivery Site,Forth Valley,-2.2252614,57.1583731
GARTHDEE MEDICAL GROUP,AB10 7QQ,Primary Care Delivery Site,Forth Valley,-2.1337864,57.1194455
Rinnes Medical Group,AB55 4FH,Covid-19 Vaccination Clinic,Grampian,-3.121648,57.4457936
